Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Discount_Flag,Promo_Flag,Subscriber_Flag,Purchase_Freq_Annual,Est_Annual_Revenue,Promo_Dependency_Score,Satisfaction_Score,Loyalty_Index_A,Loyalty_Index_B,Value_Tier,Retention_Risk,Organic_Buyer,Segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,1,1,1,26,1378,2,0.24000000000000005,0.4542216886754702,0.18886486486486487,High,0,0,Loyal Promo-Driven
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,1,1,1,26,1664,2,0.24000000000000005,0.33177270908363343,0.21094980694980697,Premium,0,0,Casual Promo-Driven
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,1,1,1,52,3796,2,0.24000000000000005,0.7244897959183674,0.3755830115830116,Premium,0,0,Loyal Promo-Driven
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,1,1,1,52,4680,2,0.4,0.9897959183673469,0.4998455598455599,Premium,0,0,Loyal Promo-Driven
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,1,1,1,1,49,2,0.08000000000000007,0.45612244897959187,0.03023938223938226,Low,1,0,Loyal Promo-Driven
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,1,1,1,52,1040,2,0.15999999999999998,0.6326530612244898,0.13476447876447875,High,0,0,Loyal Promo-Driven
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,1,1,1,4,340,2,0.2800000000000001,0.6603841536614646,0.12271042471042473,Medium,1,0,Loyal Promo-Driven
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,1,1,1,52,1768,2,0.2800000000000001,0.6836734693877551,0.232980694980695,Premium,0,0,Loyal Promo-Driven
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,1,1,1,1,97,2,0.040000000000000036,0.22142857142857142,0.019945945945945957,Low,1,0,Casual Promo-Driven
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,1,1,1,4,124,2,0.9199999999999999,0.2012004801920768,0.330030888030888,Low,0,0,Casual Promo-Driven
